date,EUR,USD,GBP
2008.10,3.3819,2.401747035011718,4.2706149766384645
2008.11,3.5966,2.8193148859449715,4.5705934680391405
2008.12,3.8445,3.049254441624366,4.568356009743924
2009.01,4.1535,2.984479413666739,4.360629921259843
2009.02,4.462,3.4815855181023716,4.969649718772623
2009.03,4.703,3.7195507750711805,5.265927667674393
2009.04,4.554,3.4380190246112035,4.946773843145775
2009.05,4.3993,3.3139736346516013,4.92449767728214
2009.06,4.462,3.1378340365682136,5.140552995391705
2009.07,4.3904,3.114642451759364,5.1277738846064
2009.08,4.159,2.941717357476305,4.860916316035531
2009.09,4.1088,2.8704764566159002,4.66114577424844
2009.10,4.245,2.9197331315771375,4.660481967393094
2009.11,4.241,2.8655405405405405,4.745174825174825
2009.12,4.1098,2.7264163460262703,4.517008298071111
2010.01,4.1045,2.849160072192142,4.621664227001464
2010.02,4.0045,2.87824336951053,4.57735611819169
2010.03,3.94,2.913123844731978,4.345428476894232
2010.04,3.8458,2.855509355509356,4.346273379668871
2010.05,3.9163,2.941269245212167,4.499942548546478
2010.06,4.114,3.3846153846153846,4.928716904276985
2010.07,4.177,3.3882219338092145,5.080581402420482
2010.08,4.0085,3.0768345102855386,4.801173793268655
2010.09,3.9896,3.116875,4.800673846338968
2010.10,3.937,2.868279178201952,4.537805440295067
2010.11,3.9701,2.8508545167312938,4.5804441880588405
2010.12,4.0202,3.065345024780785,4.789944000953175
2011.01,3.975,2.9748540637629097,4.618065640429858
2011.02,3.9138,2.8453653217011996,4.585051546391752
2011.03,3.9725,2.873417721518987,4.676830704026371
2011.04,4.0398,2.856799377696061,4.582870107770845
2011.05,3.9356,2.6484522207267833,4.4135920152517665
2011.06,3.957,2.7463908939478063,4.511715409611766
2011.07,3.9678,2.73868028713418,4.384309392265194
2011.08,3.9828,2.762955254942768,4.528224660337672
2011.09,4.1442,2.9010850542527122,4.702905129369042
2011.10,4.405,3.2622380211804787,5.082790053654878
2011.11,4.4774,3.285682835547076,5.235806583640297
2011.12,4.505,3.33901571301512,5.243859853334885
2012.01,4.458,3.445397635056805,5.337004668981204
2012.02,4.2005,3.1882352941176473,5.053537054860442
2012.03,4.1152,3.0913461538461537,4.928973529764043
2012.04,4.1522,3.1088649296196467,4.979254107207099
2012.05,4.1709,3.1564250037838657,5.130573836029276
2012.06,4.4125,3.5809933452361626,5.481366459627329
2012.07,4.2488,3.374741858617951,5.2662369856222115
2012.08,4.1058,3.3385916409172225,5.213714285714286
2012.09,4.1765,3.311791293315359,5.2518076076705436
2012.10,4.1057,3.1883979187698994,5.1430539897281715
2012.11,4.127,3.1807321772639687,5.138517088962211
2012.12,4.1052,3.1612505775450486,5.063147508633449
2013.01,4.074,3.087767166894043,4.992035289792917
2013.02,4.1792,3.06303136909997,4.849947777648834
2013.03,4.1477,3.1905384615384618,4.7966924945067655
2013.04,4.1804,3.2646622413119872,4.943708609271523
